genus,species,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Corynebacterium,Corynebacterium_imitans,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.108108108,0,0,0.014285714,0,0,0
Corynebacterium,Corynebacterium_jeikeium,0,0,0.157142857,0,0.011560694,0,0,0,0,0,0,0.023489933,0.010909091,0,0,0.120481928,0,0,0,0
Corynebacterium,Corynebacterium_macginleyi,0.057142857,0.338498212,0.014285714,0.306666667,0.011560694,0.303571429,0.067010309,0.083333333,0.176470588,0.21192053,0,0.208053691,0.018181818,0.315315315,0.272727273,0.674698795,0,0.055555556,0.107142857,0.104651163
Corynebacterium,Corynebacterium_matruchotii,0,0.008343266,0,0,0,0,0,0,0,0,0,0,0,0.054054054,0,0,0.214285714,0,0,0
Corynebacterium,Corynebacterium_mucifaciens,0.171428571,0,0.1,0.026666667,0.034682081,0.005952381,0,0.069444444,0,0,0,0,0,0,0,0,0.1,0,0,0
Corynebacterium,Corynebacterium_propinquum,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045045045,0,0,0,0,0,0
Corynebacterium,Corynebacterium_pseudodiphtheriticum,0.028571429,0.574493445,0,0,0.092485549,0,0,0,0,0,0,0,0,0.018018018,0,0,0,0,0,0
Corynebacterium,Corynebacterium_resistens,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126126126,0,0,0,0,0,0
Corynebacterium,Corynebacterium_segmentosum,0,0,0,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,Corynebacterium_singulare,0,0,0.157142857,0,0,0.083333333,0,0,0.161764706,0.132450331,1,0,0,0,0,0,0,0,0,0
